swab_id,Indiv_id,Frog_or_Tadpole,Tank_num,Indiv_num,InitialFrogs,ZE,alive, site_name,date_collected,Julian,Day,observer,species,lifestage, gosner_stage,weight,svl,sex,notes,pit_tag,frog_condition,total_wt, bag_wt,ct0,ct1,ge0,ge1,avg_ge_score
MDF1_1_Dec4,MDF1_1,F,1,1,16,5.368,yes, mesocosm density experiment,12/4/2008,39786,137, MT, Rana sierrae, adult,46,,, M,,3706826, healthy,,,41.5338,,0.0671,,0.0671
MDF1_2_JUL20,MDF1_2,F,1,2,16,0,yes, mesocosm density experiment,7/20/2008,39649,0, MT, Rana sierrae, adult,46,7.3,42.6, M,,3713422, healthy,8.3,1,0,,0,,0
MDF1_2_Jul24,MDF1_2,F,1,2,16,0,yes, mesocosm density experiment,7/24/2008,39653,4, MT, Rana sierrae, adult,46,8.4,44.9, M,,3713422, healthy,11.1,2.8,0,,0,,0
MDF1_2_Jul31,MDF1_2,F,1,2,16,1.008,yes, mesocosm density experiment,7/31/2008,39660,11, JS, Rana sierrae, adult,46,6,43.3, M,,3713422, healthy,8.7,2.7,42.1563,,0.0126,,0.0126
MDF1_2_AUG7,MDF1_2,F,1,2,16,248.168,yes, mesocosm density experiment,8/7/2008,39667,18, MHT, Rana sierrae, adult,46,7.8,42.75, M,,3713422, Healthy,9,1.2,34.2937,,3.1021,,3.1021
MDF1_2_Aug14,MDF1_2,F,1,2,16,19246.416,yes, mesocosm density experiment,8/14/2008,39674,25, MHT, Rana sierrae, adult,46,7.4,41.1, M,,3713422, Healthy,8.6,1.2,27.1433,,240.5802,,240.5802
MDF1_2_Aug21,MDF1_2,F,1,2,16,30341.424,yes, mesocosm density experiment,8/20/2008,39680,31, CJB, Rana sierrae, adult,46,7.8,40.8, M,,3713422,,9,1.2,26.0862,,379.2678,,379.2678
MDF1_2_Aug27,MDF1_2,F,1,2,16,3034.824,yes, mesocosm density experiment,8/26/2008,39686,37, CJB, Rana sierrae, adult,46,7.3,42.8, M,,3713422,,8.4,1.1,29.7253,,37.9353,,37.9353
MDF1_2_Sep3,MDF1_2,F,1,2,16,1.248,yes, mesocosm density experiment,9/4/2008,39695,46, EC, Rana sierrae, adult,46,8.1,42, M,,3713422, HEALTHY,9.2,1.1,41.9035,,0.0156,,0.0156
MDF1_2_Sep11,MDF1_2,F,1,2,16,4.32,yes, mesocosm density experiment,9/11/2008,39702,53, EC, Rana sierrae, adult,46,8.7,42.9, M,,3713422,,9.8,1.1,37.3246,,0.054,,0.054
MDF1_2_Sep18,MDF1_2,F,1,2,16,69.16,yes, mesocosm density experiment,9/19/2008,39710,61, EC, Rana sierrae, adult,46,8.4,42.6, M,,3713422, healthy,9.6,1.2,36.2573,,0.8645,,0.8645
MDF1_2_Sep24,MDF1_2,F,1,2,16,0,yes, mesocosm density experiment,9/25/2008,39716,67, EC, Rana sierrae, adult,46,9.1,42.3, M,,3713422, healthy,10.2,1.1,0,,0,,0
MDF1_2_Oct1,MDF1_2,F,1,2,16,15.104,yes, mesocosm density experiment,10/2/2008,39723,74, MT, Rana sierrae, adult,46,9.6,43.3, M,,3713422, healthy,12.1,2.5,38.5562,,0.1888,,0.1888
MDF1_2_Dec4,MDF1_2,F,1,2,16,0,yes, mesocosm density experiment,12/4/2008,39786,137, MT, Rana sierrae, adult,46,,, M,,3713422, healthy,,,0,,0,,0
MDF1_3_JUL20,MDF1_3,F,1,3,16,0,yes, mesocosm density experiment,7/20/2008,39649,0, MT, Rana sierrae, adult,46,7.3,42.4, M,,3702798, healthy,8.2,1,0,,0,,0
MDF1_3_Jul24,MDF1_3,F,1,3,16,0,yes, mesocosm density experiment,7/24/2008,39653,4, MT, Rana sierrae, adult,46,7.1,43.2, M,,3702798, healthy,9.7,2.7,0,,0,,0
MDF1_3_Jul31,MDF1_3,F,1,3,16,9.544,yes, mesocosm density experiment,7/31/2008,39660,11, JS, Rana sierrae, adult,46,7.1,43.2, M,,3702798, healthy,9.6,2.5,38.7103,,0.1193,,0.1193
MDF1_3_AUG7,MDF1_3,F,1,3,16,2073.72,yes, mesocosm density experiment,8/7/2008,39667,18, MHT, Rana sierrae, adult,46,7.3,46.65, M,,3702798, Healthy,8.5,1.2,31.1021,,25.9215,,25.9215
MDF1_3_Aug14,MDF1_3,F,1,3,16,7436.048,yes, mesocosm density experiment,8/14/2008,39674,25, MHT, Rana sierrae, adult,46,7.7,44.1, M,,3702798, Healthy,9,1.3,28.5683,,92.9506,,92.9506
MDF1_3_Aug21,MDF1_3,F,1,3,16,7270.072,yes, mesocosm density experiment,8/20/2008,39680,31, CJB, Rana sierrae, adult,46,7.3,44.4, M,,3702798,,8.4,1.1,28.3551,,90.8759,,90.8759
MDF1_3_Aug27,MDF1_3,F,1,3,16,13559.712,yes, mesocosm density experiment,8/26/2008,39686,37, CJB, Rana sierrae, adult,46,7.9,43.1, M,,3702798,,9,1.1,27.2612,,169.4964,,169.4964
MDF1_3_Sep3,MDF1_3,F,1,3,16,25.624,yes, mesocosm density experiment,9/4/2008,39695,46, EC, Rana sierrae, adult,46,7.5,42.6, M,,3702798, HEALTHY,8.6,1.1,37.1902,,0.3203,,0.3203
MDF1_3_Sep11,MDF1_3,F,1,3,16,4.168,yes, mesocosm density experiment,9/11/2008,39702,53, EC, Rana sierrae, adult,46,8.2,43.2, M,,3702798,,9.3,1.1,37.3825,,0.0521,,0.0521
MDF1_3_Sep18,MDF1_3,F,1,3,16,14.56,yes, mesocosm density experiment,9/19/2008,39710,61, EC, Rana sierrae, adult,46,7.6,43.6, M,,3702798, healthy,8.7,1.1,38.5568,,0.182,,0.182
MDF1_3_Sep24,MDF1_3,F,1,3,16,0,yes, mesocosm density experiment,9/25/2008,39716,67, EC, Rana sierrae, adult,46,7.9,42.9, M,,3702798, healthy,9,1.1,0,,0,,0
MDF1_3_Oct1,MDF1_3,F,1,3,16,0,yes, mesocosm density experiment,10/2/2008,39723,74, MT, Rana sierrae, adult,46,8.6,43.8, M,,3702798, healthy,11.1,2.5,0,,0,,0
MDF1_3_Dec4,MDF1_3,F,1,3,16,0,yes, mesocosm density experiment,12/4/2008,39786,137, MT, Rana sierrae, adult,46,,, M,,3702798, healthy,,,0,,0,,0
MDF1_4_JUL20,MDF1_4,F,1,4,16,0,yes, mesocosm density experiment,7/20/2008,39649,0, MT, Rana sierrae, adult,46,5.9,40.2, M,,3716707, healthy,7,1.1,0,,0,,0
MDF1_4_Jul24,MDF1_4,F,1,4,16,0,yes, mesocosm density experiment,7/24/2008,39653,4, MT, Rana sierrae, adult,46,5.9,40.3, M,,3716707, healthy,8.5,2.6,0,,0,,0
MDF1_4_Jul31,MDF1_4,F,1,4,16,0,yes, mesocosm density experiment,7/31/2008,39660,11, JS, Rana sierrae, adult,46,4.1,42.4, M,,3716707, healthy,6.6,2.5,0,,0,,0
MDF1_4_AUG7,MDF1_4,F,1,4,16,7725.416,yes, mesocosm density experiment,8/7/2008,39667,18, MHT, Rana sierrae, adult,46,5.5,39.8, M,,3716707, Healthy,6.7,1.2,29.1249,,96.5677,,96.5677
MDF1_4_Aug14,MDF1_4,F,1,4,16,39884.096,yes, mesocosm density experiment,8/14/2008,39674,25, MHT, Rana sierrae, adult,46,5.3,41.4, M, SLIGHTLY SKINNY,3716707, Healthy,6.6,1.3,26.0514,,498.5512,,498.5512
MDF1_4_Aug21,MDF1_4,F,1,4,16,32697.04,yes, mesocosm density experiment,8/20/2008,39680,31, CJB, Rana sierrae, adult,46,3.5,38.1, M,,3716707,,4.7,1.2,25.9674,,408.713,,408.713
MDF1_4_Aug27,MDF1_4,F,1,4,16,1498.52,yes, mesocosm density experiment,8/26/2008,39686,37, CJB, Rana sierrae, adult,46,4.5,39, M,,3716707,,5.7,1.2,30.887,,18.7315,,18.7315
MDF1_4_Sep3,MDF1_4,F,1,4,16,0,no, mesocosm density experiment,9/4/2008,39695,46, EC, Rana sierrae, adult,46,,, M, FOUND DEAD 9/3/08,3716707,,,,0,,0,,0
MDF1_4_Sep11,MDF1_4,F,1,4,16,,no, mesocosm density experiment,9/11/2008,39702,53, EC, Rana sierrae, adult,46,0,, M,,3716707, dead,,,,,,,
MDF1_4_Sep18,MDF1_4,F,1,4,16,,no, mesocosm density experiment,9/19/2008,39710,61, EC, Rana sierrae, adult,46,,,,,, dead,,,,,,,
MDF1_4_Sep24,MDF1_4,F,1,4,16,,no, mesocosm density experiment,9/25/2008,39716,67, EC, Rana sierrae, adult,46,,,,,, dead,,,,,,,
MDF1_4_Oct1,MDF1_4,F,1,4,16,,no, mesocosm density experiment,10/2/2008,39723,74, MT, Rana sierrae, adult,47,,,,,, dead,,,,,,,
MDF1_5_JUL20,MDF1_5,F,1,5,16,0,yes, mesocosm density experiment,7/20/2008,39649,0, MT, Rana sierrae, adult,46,6,41.1, F,,3707450, healthy,7.1,1,0,,0,,0
MDF1_5_Jul24,MDF1_5,F,1,5,16,0,yes, mesocosm density experiment,7/24/2008,39653,4, MT, Rana sierrae, adult,46,6.7,41.8, F,,3707450, healthy,9.3,2.6,0,,0,,0
MDF1_5_Jul31,MDF1_5,F,1,5,16,0,yes, mesocosm density experiment,7/31/2008,39660,11, JS, Rana sierrae, adult,46,5.8,37.7, F,,3707450, healthy,8.4,2.6,0,,0,,0
MDF1_5_AUG7,MDF1_5,F,1,5,16,8542.384,yes, mesocosm density experiment,8/7/2008,39667,18, MHT, Rana sierrae, adult,46,5.9,42.5, F,,3707450, Healthy,7.1,1.2,28.9738,,106.7798,,106.7798
MDF1_5_Aug14,MDF1_5,F,1,5,16,4488.024,yes, mesocosm density experiment,8/14/2008,39674,25, MHT, Rana sierrae, adult,46,5.8,39.8, F,,3707450, Healthy,7.1,1.3,29.325,,56.1003,,56.1003
MDF1_5_Aug21,MDF1_5,F,1,5,16,103323.624,yes, mesocosm density experiment,8/20/2008,39680,31, CJB, Rana sierrae, adult,46,6.9,40.4, F,,3707450,,8.2,1.3,24.1402,,1291.5453,,1291.5453
MDF1_5_Aug27,MDF1_5,F,1,5,16,3653.96,yes, mesocosm density experiment,8/26/2008,39686,37, CJB, Rana sierrae, adult,46,5.8,39.1, F,,3707450,,7,1.2,29.4197,,45.6745,,45.6745
MDF1_5_Sep3,MDF1_5,F,1,5,16,41.176,yes, mesocosm density experiment,9/4/2008,39695,46, EC, Rana sierrae, adult,46,6,41.6, F,,3707450, HEALTHY,7.3,1.3,36.4508,,0.5147,,0.5147
MDF1_5_Sep11,MDF1_5,F,1,5,16,0,yes, mesocosm density experiment,9/11/2008,39702,53, EC, Rana sierrae, adult,46,7.1,40, F,,3707450,,8.3,1.2,0,,0,,0
MDF1_5_Sep18,MDF1_5,F,1,5,16,17.784,yes, mesocosm density experiment,9/19/2008,39710,61, EC, Rana sierrae, adult,46,6.3,40.1, F,,3707450, healthy,7.4,1.1,38.2613,,0.2223,,0.2223
MDF1_5_Sep24,MDF1_5,F,1,5,16,0,yes, mesocosm density experiment,9/25/2008,39716,67, EC, Rana sierrae, adult,46,7.7,40.1, F,,3707450, healthy,8.8,1.1,0,,0,,0
MDF1_5_Oct1,MDF1_5,F,1,5,16,20.216,yes, mesocosm density experiment,10/2/2008,39723,74, MT, Rana sierrae, adult,46,6.8,41.9, F,,3707450, healthy,9.3,2.5,38.1005,,0.2527,,0.2527
MDF1_5_Dec4,MDF1_5,F,1,5,16,0,yes, mesocosm density experiment,12/4/2008,39786,137, MT, Rana sierrae, adult,46,,, F,,3707450, healthy,,,0,,0,,0
MDF1_6_JUL20,MDF1_6,F,1,6,16,0,yes, mesocosm density experiment,7/20/2008,39649,0, MT, Rana sierrae, adult,46,7.5,42.2, F,,3715339, healthy,8.6,1.1,0,,0,,0
MDF1_6_Jul24,MDF1_6,F,1,6,16,0,yes, mesocosm density experiment,7/24/2008,39653,4, MT, Rana sierrae, adult,46,6.7,39.1, F,,3715339, healthy,9.2,2.5,0,,0,,0
MDF1_6_Jul31,MDF1_6,F,1,6,16,57.776,yes, mesocosm density experiment,7/31/2008,39660,11, JS, Rana sierrae, adult,46,6,41.9, F,,3715339, healthy,8.4,2.4,35.954,,0.7222,,0.7222
MDF1_6_AUG7,MDF1_6,F,1,6,16,1019.216,yes, mesocosm density experiment,8/7/2008,39667,18, MHT, Rana sierrae, adult,46,6.5,41.3, F,,3715339, Healthy,7.6,1.1,32.1699,,12.7402,,12.7402
MDF1_6_Aug14,MDF1_6,F,1,6,16,1750.504,yes, mesocosm density experiment,8/14/2008,39674,25, MHT, Rana sierrae, adult,46,6.6,41.1, F,,3715339, Healthy,7.8,1.2,30.7358,,21.8813,,21.8813
MDF1_6_Aug21,MDF1_6,F,1,6,16,65144.328,yes, mesocosm density experiment,8/20/2008,39680,31, CJB, Rana sierrae, adult,46,6.6,40, F,,3715339,,7.8,1.2,24.8727,,814.3041,,814.3041
MDF1_6_Aug27,MDF1_6,F,1,6,16,5294.672,yes, mesocosm density experiment,8/26/2008,39686,37, CJB, Rana sierrae, adult,46,6,39.5, F,,3715339,,7,1,28.8092,,66.1834,,66.1834
MDF1_6_Sep3,MDF1_6,F,1,6,16,55.552,yes, mesocosm density experiment,9/4/2008,39695,46, EC, Rana sierrae, adult,46,5.4,37.9, F,,3715339, HEALTHY,6.5,1.1,35.9841,,0.6944,,0.6944
MDF1_6_Sep11,MDF1_6,F,1,6,16,0.048,yes, mesocosm density experiment,9/11/2008,39702,53, EC, Rana sierrae, adult,46,6.8,38.3, F,,3715339,,7.8,1,44.591,,0.0006,,0.0006
MDF1_6_Sep18,MDF1_6,F,1,6,16,78.056,yes, mesocosm density experiment,9/19/2008,39710,61, EC, Rana sierrae, adult,46,6.1,40.4, F, slow righting reflex,3715339, sick,7.2,1.1,36.0785,,0.9757,,0.9757
MDF1_6_Sep24,MDF1_6,F,1,6,16,10.24,yes, mesocosm density experiment,9/25/2008,39716,67, EC, Rana sierrae, adult,46,6.9,39.3, F,,3715339, healthy,8.1,1.2,38.2057,,0.128,,0.128
MDF1_6_Oct1,MDF1_6,F,1,6,16,25.12,yes, mesocosm density experiment,10/2/2008,39723,74, MT, Rana sierrae, adult,46,6.8,41.6, F,,3715339, healthy,9.3,2.5,37.7614,,0.314,,0.314
MDF1_6_Dec4,MDF1_6,F,1,6,16,0,yes, mesocosm density experiment,12/4/2008,39786,137, MT, Rana sierrae, adult,46,,, F,,3715339, healthy,,,0,,0,,0
MDF1_7_JUL20,MDF1_7,F,1,7,16,0,yes, mesocosm density experiment,7/20/2008,39649,0, MT, Rana sierrae, adult,46,7.8,42.8, F,,3713237, healthy,8.9,1.1,0,,0,,0
MDF1_7_Jul24,MDF1_7,F,1,7,16,0,yes, mesocosm density experiment,7/24/2008,39653,4, MT, Rana sierrae, adult,46,8.1,43.9, F,,3713237, healthy,11,2.8,0,,0,,0
MDF1_7_Jul31,MDF1_7,F,1,7,16,5.6,yes, mesocosm density experiment,7/31/2008,39660,11, JS, Rana sierrae, adult,46,8.3,45, F,,3713237, healthy,10.8,2.5,39.5266,,0.07,,0.07
MDF1_7_AUG7,MDF1_7,F,1,7,16,9430.872,yes, mesocosm density experiment,8/7/2008,39667,18, MHT, Rana sierrae, adult,46,7.7,44, F,,3713237, Healthy,9,1.3,28.825,,117.8859,,117.8859
MDF1_7_Aug14,MDF1_7,F,1,7,16,12055.52,yes, mesocosm density experiment,8/14/2008,39674,25, MHT, Rana sierrae, adult,46,7.5,44.7, F,,3713237, Healthy,8.7,1.2,27.8443,,150.694,,150.694
MDF1_7_Aug21,MDF1_7,F,1,7,16,17891.968,yes, mesocosm density experiment,8/20/2008,39680,31, CJB, Rana sierrae, adult,46,8.1,44, F,,3713237,,9.3,1.2,26.9249,,223.6496,,223.6496
MDF1_7_Aug27,MDF1_7,F,1,7,16,19227.416,yes, mesocosm density experiment,8/26/2008,39686,37, CJB, Rana sierrae, adult,46,7.4,43, F,,3713237,,8.6,1.2,26.6863,,240.3427,,240.3427
MDF1_7_Sep3,MDF1_7,F,1,7,16,17.168,yes, mesocosm density experiment,9/4/2008,39695,46, EC, Rana sierrae, adult,46,7.7,42.5, F,,3713237, HEALTHY,8.8,1.1,37.8141,,0.2146,,0.2146
MDF1_7_Sep11,MDF1_7,F,1,7,16,1.648,yes, mesocosm density experiment,9/11/2008,39702,53, EC, Rana sierrae, adult,46,8.6,42.3, F,,3713237,,9.7,1.1,38.8537,,0.0206,,0.0206
MDF1_7_Sep18,MDF1_7,F,1,7,16,12.176,yes, mesocosm density experiment,9/19/2008,39710,61, EC, Rana sierrae, adult,46,7.9,42.4, F,,3713237, healthy,9,1.1,38.8203,,0.1522,,0.1522
MDF1_7_Sep24,MDF1_7,F,1,7,16,0,yes, mesocosm density experiment,9/25/2008,39716,67, EC, Rana sierrae, adult,46,9.3,42.6, F,,3713237, healthy,10.4,1.1,0,,0,,0
MDF1_7_Oct1,MDF1_7,F,1,7,16,53.272,yes, mesocosm density experiment,10/2/2008,39723,74, MT, Rana sierrae, adult,46,9.5,42.8, F,,3713237, healthy,12,2.5,36.586,,0.6659,,0.6659
MDF1_7_Dec4,MDF1_7,F,1,7,16,0,yes, mesocosm density experiment,12/4/2008,39786,137, MT, Rana sierrae, adult,46,,, F,,3713237, healthy,,,0,,0,,0
MDF1_8_JUL20,MDF1_8,F,1,8,16,0,yes, mesocosm density experiment,7/20/2008,39649,0, MT, Rana sierrae, adult,46,8.9,45.1, F,,3711120, healthy,10,1.1,0,,0,,0
MDF1_8_Jul24,MDF1_8,F,1,8,16,0,yes, mesocosm density experiment,7/24/2008,39653,4, MT, Rana sierrae, adult,46,8.4,47, F,,3711120, healthy,10.9,2.5,0,,0,,0
MDF1_8_Jul31,MDF1_8,F,1,8,16,5.816,yes, mesocosm density experiment,7/31/2008,39660,11, JS, Rana sierrae, adult,46,8.5,46.2, F,,3711120, healthy,10.9,2.4,39.4673,,0.0727,,0.0727
MDF1_8_AUG7,MDF1_8,F,1,8,16,3968.016,yes, mesocosm density experiment,8/7/2008,39667,18, MHT, Rana sierrae, adult,46,7.8,48, F,,3711120, Healthy,9,1.2,30.1265,,49.6002,,49.6002
MDF1_8_Aug14,MDF1_8,F,1,8,16,82182.288,yes, mesocosm density experiment,8/14/2008,39674,25, MHT, Rana sierrae, adult,46,7.5,44.9, F, SKINNY,3711120, Healthy,8.7,1.2,24.9681,,1027.2786,,1027.2786
MDF1_8_Aug21,MDF1_8,F,1,8,16,60139.344,yes, mesocosm density experiment,8/20/2008,39680,31, CJB, Rana sierrae, adult,46,8.5,45.4, F,,3711120,,9.7,1.2,24.9997,,751.7418,,751.7418
MDF1_8_Aug27,MDF1_8,F,1,8,16,449.448,yes, mesocosm density experiment,8/26/2008,39686,37, CJB, Rana sierrae, adult,46,7.4,45.7, F,,3711120,,8.6,1.2,32.8692,,5.6181,,5.6181
MDF1_8_Sep3,MDF1_8,F,1,8,16,2.328,yes, mesocosm density experiment,9/4/2008,39695,46, EC, Rana sierrae, adult,46,7.7,44.7, F,,3711120, HEALTHY,8.8,1.1,40.9288,,0.0291,,0.0291
MDF1_8_Sep11,MDF1_8,F,1,8,16,0.008,yes, mesocosm density experiment,9/11/2008,39702,53, EC, Rana sierrae, adult,46,8.3,44.9, F,,3711120,,9.4,1.1,47.1245,,0.0001,,0.0001
MDF1_8_Sep18,MDF1_8,F,1,8,16,15.248,yes, mesocosm density experiment,9/19/2008,39710,61, EC, Rana sierrae, adult,46,8.2,45.5, F,,3711120, healthy,9.4,1.2,38.4882,,0.1906,,0.1906
MDF1_8_Sep24,MDF1_8,F,1,8,16,1.176,yes, mesocosm density experiment,9/25/2008,39716,67, EC, Rana sierrae, adult,46,8.9,44.8, F,,3711120, healthy,10.1,1.2,41.4155,,0.0147,,0.0147
MDF1_8_Oct1,MDF1_8,F,1,8,16,6.072,yes, mesocosm density experiment,10/2/2008,39723,74, MT, Rana sierrae, adult,46,9.4,45.9, F,,3711120, healthy,11.9,2.5,39.9801,,0.0759,,0.0759
MDF1_8_Dec4,MDF1_8,F,1,8,16,0,yes, mesocosm density experiment,12/4/2008,39786,137, MT, Rana sierrae, adult,46,,, F,,3711120, healthy,,,0,,0,,0
MDF1_9_JUL20,MDF1_9,F,1,9,16,0,yes, mesocosm density experiment,7/20/2008,39649,0, MT, Rana sierrae, adult,46,7,42.5, M,,3716139, healthy,8.1,1.1,0,,0,,0
MDF1_9_Jul24,MDF1_9,F,1,9,16,0,yes, mesocosm density experiment,7/24/2008,39653,4, MT, Rana sierrae, adult,46,6.9,44.9, M,,3716139, healthy,9.6,2.7,0,,0,,0
MDF1_9_Jul31,MDF1_9,F,1,9,16,14.064,yes, mesocosm density experiment,7/31/2008,39660,11, JS, Rana sierrae, adult,46,7.2,41, M,,3716139, healthy,9.7,2.5,38.1169,,0.1758,,0.1758
MDF1_9_AUG7,MDF1_9,F,1,9,16,563.288,yes, mesocosm density experiment,8/7/2008,39667,18, MHT, Rana sierrae, adult,46,6.5,43.5, M,,3716139, Healthy,7.7,1.2,33.0614,,7.0411,,7.0411
MDF1_9_Aug14,MDF1_9,F,1,9,16,58730.408,yes, mesocosm density experiment,8/14/2008,39674,25, MHT, Rana sierrae, adult,46,5.4,43.9, M,,3716139, Healthy,6.6,1.2,25.4715,,734.1301,,734.1301
MDF1_9_Aug21,MDF1_9,F,1,9,16,26200.936,yes, mesocosm density experiment,8/20/2008,39680,31, CJB, Rana sierrae, adult,46,4.9,39.6, M,,3716139,,6.1,1.2,26.3192,,327.5117,,327.5117
MDF1_9_Aug27,MDF1_9,F,1,9,16,18745.368,yes, mesocosm density experiment,8/26/2008,39686,37, CJB, Rana sierrae, adult,46,5.4,40.2, M,,3716139,,6.6,1.2,26.7281,,234.3171,,234.3171
MDF1_9_Sep3,MDF1_9,F,1,9,16,41.408,yes, mesocosm density experiment,9/4/2008,39695,46, EC, Rana sierrae, adult,46,5.8,40.7, M,,3716139, HEALTHY,6.9,1.1,36.4422,,0.5176,,0.5176
MDF1_9_Sep11,MDF1_9,F,1,9,16,0,yes, mesocosm density experiment,9/11/2008,39702,53, EC, Rana sierrae, adult,46,6.4,40.2, M,,3716139,,7.5,1.1,0,,0,,0
MDF1_9_Sep18,MDF1_9,F,1,9,16,61.072,yes, mesocosm density experiment,9/19/2008,39710,61, EC, Rana sierrae, adult,46,6.4,40.8, M, slightly slow righting reflex,3716139, sick,7.5,1.1,36.4407,,0.7634,,0.7634
MDF1_9_Sep24,MDF1_9,F,1,9,16,0,yes, mesocosm density experiment,9/25/2008,39716,67, EC, Rana sierrae, adult,46,7.3,41, M,,3716139, healthy,8.3,1,0,,0,,0
MDF1_9_Oct1,MDF1_9,F,1,9,16,6.648,yes, mesocosm density experiment,10/2/2008,39723,74, MT, Rana sierrae, adult,46,7,43.1, M,,3716139, healthy,9.5,2.5,39.8401,,0.0831,,0.0831
MDF1_9_Dec4,MDF1_9,F,1,9,16,0,yes, mesocosm density experiment,12/4/2008,39786,137, MT, Rana sierrae, adult,46,,, M,,3716139, healthy,,,0,,0,,0
MDF1_10_JUL20,MDF1_10,F,1,10,16,0,yes, mesocosm density experiment,7/20/2008,39649,0, MT, Rana sierrae, adult,46,8.7,45, M,,3705352, healthy,9.7,1,0,,0,,0
MDF1_10_Jul24,MDF1_10,F,1,10,16,0,yes, mesocosm density experiment,7/24/2008,39653,4, MT, Rana sierrae, adult,46,9.7,45.5, M,,3705352, healthy,12.3,2.6,0,,0,,0
MDF1_10_Jul31,MDF1_10,F,1,10,16,2.88,yes, mesocosm density experiment,7/31/2008,39660,11, JS, Rana sierrae, adult,46,8.8,45.2, M,,3705352, healthy,11.4,2.6,40.5426,,0.036,,0.036
MDF1_10_AUG7,MDF1_10,F,1,10,16,74.416,yes, mesocosm density experiment,8/7/2008,39667,18, MHT, Rana sierrae, adult,46,8.5,44.85, M,,3705352, Healthy,9.8,1.3,36.1044,,0.9302,,0.9302
MDF1_10_Aug14,MDF1_10,F,1,10,16,23477.992,yes, mesocosm density experiment,8/14/2008,39674,25, MHT, Rana sierrae, adult,46,8.6,48.7, M,,3705352, Healthy,9.9,1.3,26.8455,,293.4749,,293.4749
MDF1_10_Aug21,MDF1_10,F,1,10,16,57821.064,yes, mesocosm density experiment,8/20/2008,39680,31, CJB, Rana sierrae, adult,46,8.5,43.9, M,,3705352,,9.7,1.2,25.0621,,722.7633,,722.7633
MDF1_10_Aug27,MDF1_10,F,1,10,16,2804.36,yes, mesocosm density experiment,8/26/2008,39686,37, CJB, Rana sierrae, adult,46,8.8,44.4, M,,3705352,,10,1.2,29.8554,,35.0545,,35.0545
MDF1_10_Sep3,MDF1_10,F,1,10,16,179.288,yes, mesocosm density experiment,9/4/2008,39695,46, EC, Rana sierrae, adult,46,8.3,44.1, M,,3705352, HEALTHY,9.4,1.1,34.1582,,2.2411,,2.2411
